name,hex
Butterfield,#f7be5b
Golden Plumeria,#fbd073
Bee,#f1ba55
Gambol Gold,#e1b047
Kingdom Gold,#d1a436
Funky Yellow,#edd26f
Gold Crest,#df9938
Goldenrod,#f2af46
Rayo de Sol,#f4c454
Brittlebush,#eaae47
Glitzy Gold,#d6a02b
Crispy Gold,#c49832
Eye Catching,#ddb835
Curry,#d88f32
Sunflower,#e39a33
Cheerful,#ffc723
Trinket,#d69835
Auric,#c48919
Olde World Gold,#8f6c3e
Citronella,#cba901
Napery,#efddc1
Ivoire,#e4ceac
Believable Buff,#dbc7a8
Convivial Yellow,#e9d6b0
Lucent Yellow,#e4d0a5
Ancestral Gold,#ddcda6
Rice Paddy,#dfd4b0
Compatible Cream,#e8c89e
Blonde,#dcbd92
Whole Wheat,#cdb592
Sequin,#e1c28d
Pale Moss,#dcc797
Wheat Grass,#cbb584
Hearts of Palm,#cfc291
Dakota Wheat,#e1bd8e
Restrained Gold,#d2b084
Camelback,#c5aa85
Tarnished Trumpet,#d5b176
Independent Gold,#d2ba83
Dusted Olive,#bea775
Cool Avocado,#c4b47d
Golden Fleece,#d6ad78
Vintage Gold,#cba576
Coriander Powder,#ba9c75
Alchemy,#c99e53
Antiquity,#c2a462
Edgy Gold,#b1975f
Sassy Green,#bba86a
Butternut,#cc9b5c
Mannered Gold,#c19763
Baguette,#b39167
Different Gold,#bc934d
Escapade Gold,#b89b59
Brassy,#9d8344
Tupelo Tree,#9c9152
Bosc Pear,#c09056
Chamois,#ad8451
Cardboard,#9c7a56
Nankeen,#aa803a
Grandiose,#9c7f41
Bengal Grass,#8e773f
Rural Green,#8d844d
Gallant Gold,#a4763c
Relic Bronze,#906a3a
Craft Paper,#8a6645
Sconce Gold,#996f32
Fervent Brass,#95793d
Eminent Bronze,#7a6841
Saguaro,#655f2d
Natural Linen,#dfd3c3
Softer Tan,#dacab2
Wool Skein,#d9cfba
Netsuke,#e0cfb0
Dirty Martini,#ddd0b6
Rice Grain,#dbd0b9
Sedate Gray,#d1cdbf
Malabar,#cfbea9
Macadamia,#ccb79b
Relaxed Khaki,#c8bba3
Ecru,#d0ba94
Tumblin' Tumbleweed,#cdbb9c
Ramie,#cdbda2
Techno Gray,#bfb9aa
Antler Velvet,#c0ad96
Basket Beige,#c0a98b
Universal Khaki,#b8a992
Harmonic Tan,#c6b08a
Sawgrass Basket,#c3b090
Favorite Tan,#c1ae91
Chatroom,#b0ab9c
Song Thrush,#af987f
Serengeti Grass,#ab9579
Urban Jungle,#a4947e
Tarnished Treasure,#b9a47e
Dried Edamame,#b19f80
Fenland,#ac9d83
Honed Soapstone,#9d9887
Mudslide,#a08568
Dapper Tan,#947f65
Quiver Tan,#8e7f6a
Burlap,#ac9571
Barro Verde,#9f8e71
Sawdust,#998970
Hardware,#8b8372
Fallen Leaves,#8f7659
Thatch Brown,#867057
Superior Bronze,#786957
Artifact,#9a815e
Verde Marrón,#877459
High Tea,#7e6f59
Cocoon,#726b5b
Cowboy Boots,#695239
Umber,#6e543c
Protégé Bronze,#66543e
Mossy Gold,#7f6743
Oliva Oscuro,#665439
Best Bronze,#5d513e
Muddled Basil,#5a5243
Humorous Green,#c6b836
Center Stage,#b2c216
Electric Lime,#9aba25
